"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1688636","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1740814","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1795582","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1827201","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1869759","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1923422","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1936100","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1955488","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","2014933","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","2063887","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","19281","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","19372","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","18987","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","19257","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","20012","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","20656","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","19682","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","19908","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","20895","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","22144","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","23334","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","23894","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","27746","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","29562","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","29354","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","30187","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","31391","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","34929","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","34404","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","30954","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","32639","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","33531","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","32064","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","33748","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","33355","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","32965","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","33461","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","33953","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787378","2.1.38","32763","","","","0"
"1990","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3348","","","","0"
"1991","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3340","","","","0"
"1992","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3445","","","","0"
"1993","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3495","","","","0"
"1994","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3683","","","","0"
"1995","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","3918","","","","0"
"1996","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4044","","","","0"
"1997","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4097","","","","0"
"1998","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4251","","","","0"
"1999","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4435","","","","0"
"2000","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4554","","","","0"
"2001","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4490","","","","0"
"2002","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4705","","","","0"
"2003","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4794","","","","0"
"2004","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","4951","","","","0"
"2005","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5122","","","","0"
"2006","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5261","","","","0"
"2007","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5228","","","","0"
"2008","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5284","","","","0"
"2009","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5305","","","","0"
"2010","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5412","","","","0"
"2011","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5527","","","","0"
"2012","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5586","","","","0"
"2013","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5684","","","","0"
"2014","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5690","","","","0"
"2015","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5770","","","","0"
"2016","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","5894","","","","0"
"2017","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","6170","","","","0"
"2018","Prince Edward Island","2016A000211","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787495","3.1.38","6324","","","","0"
"1990","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","26925","","","","0"
"1991","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","26591","","","","0"
"1992","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","26927","","","","0"
"1993","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","27073","","","","0"
"1994","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","27040","","","","0"
"1995","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","27365","","","","0"
"1996","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","27388","","","","0"
"1997","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","28496","","","","0"
"1998","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","29558","","","","0"
"1999","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","31116","","","","0"
"2000","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","32041","","","","0"
"2001","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","33008","","","","0"
"2002","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","34432","","","","0"
"2003","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","34803","","","","0"
"2004","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","35071","","","","0"
"2005","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","35469","","","","0"
"2006","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","35741","","","","0"
"2007","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","36199","","","","0"
"2008","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","36915","","","","0"
"2009","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","37047","","","","0"
"2010","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","38052","","","","0"
"2011","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","38303","","","","0"
"2012","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","37933","","","","0"
"2013","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","37806","","","","0"
"2014","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","38173","","","","0"
"2015","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","38429","","","","0"
"2016","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","39038","","","","0"
"2017","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","39757","","","","0"
"2018","Nova Scotia","2016A000212","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787612","4.1.38","40496","","","","0"
"1990","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","21610","","","","0"
"1991","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","21546","","","","0"
"1992","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","21842","","","","0"
"1993","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","22523","","","","0"
"1994","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","22983","","","","0"
"1995","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","23762","","","","0"
"1996","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","24010","","","","0"
"1997","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","24232","","","","0"
"1998","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","25060","","","","0"
"1999","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","26629","","","","0"
"2000","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","27184","","","","0"
"2001","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","27683","","","","0"
"2002","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","28999","","","","0"
"2003","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","29722","","","","0"
"2004","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","30475","","","","0"
"2005","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","30716","","","","0"
"2006","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31348","","","","0"
"2007","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31644","","","","0"
"2008","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31887","","","","0"
"2009","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31425","","","","0"
"2010","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","32050","","","","0"
"2011","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","32136","","","","0"
"2012","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31796","","","","0"
"2013","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31710","","","","0"
"2014","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31747","","","","0"
"2015","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","31954","","","","0"
"2016","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","32213","","","","0"
"2017","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","33014","","","","0"
"2018","New Brunswick","2016A000213","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787729","5.1.38","33176","","","","0"
"1990","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","230456","","","","0"
"1991","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","224585","","","","0"
"1992","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","225375","","","","0"
"1993","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","230500","","","","0"
"1994","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","241075","","","","0"
"1995","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","246253","","","","0"
"1996","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","249340","","","","0"
"1997","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","256374","","","","0"
"1998","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","264665","","","","0"
"1999","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","280467","","","","0"
"2000","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","292882","","","","0"
"2001","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","297992","","","","0"
"2002","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","306269","","","","0"
"2003","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","309948","","","","0"
"2004","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","317700","","","","0"
"2005","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","322404","","","","0"
"2006","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","326298","","","","0"
"2007","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","334273","","","","0"
"2008","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","340867","","","","0"
"2009","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","338180","","","","0"
"2010","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","344934","","","","0"
"2011","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","351401","","","","0"
"2012","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","355254","","","","0"
"2013","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","359993","","","","0"
"2014","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","365719","","","","0"
"2015","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","368982","","","","0"
"2016","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","374899","","","","0"
"2017","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","385620","","","","0"
"2018","Quebec","2016A000224","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787846","6.1.38","396838","","","","0"
"1990","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","414066","","","","0"
"1991","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","400193","","","","0"
"1992","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","405564","","","","0"
"1993","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","411365","","","","0"
"1994","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","433727","","","","0"
"1995","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","447735","","","","0"
"1996","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","455035","","","","0"
"1997","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","477053","","","","0"
"1998","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","498740","","","","0"
"1999","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","533253","","","","0"
"2000","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","567019","","","","0"
"2001","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","577397","","","","0"
"2002","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","597107","","","","0"
"2003","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","603720","","","","0"
"2004","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","620670","","","","0"
"2005","Ontario","2016A000235","Chained (2012) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787963","7.1.38","640614","","","","0"
