"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1018945","","","","0"
"1997","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1017902","","","","0"
"1998","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1017332","","","","0"
"1999","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1014524","","","","0"
"2000","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1007565","","","","0"
"2001","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1000239","","","","0"
"2002","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","996807","","","","0"
"2003","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","996386","","","","0"
"2004","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","997283","","","","0"
"2005","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","993500","","","","0"
"2006","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","992314","","","","0"
"2007","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1002086","","","","0"
"2008","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1017404","","","","0"
"2009","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1034819","","","","0"
"2010","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1051443","","","","0"
"2011","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1066026","","","","0"
"2012","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1083755","","","","0"
"2013","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1099736","","","","0"
"2014","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1112979","","","","0"
"2015","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1120967","","","","0"
"2016","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1135987","","","","0"
"2017","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1150331","","","","0"
"2018","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1161767","","","","0"
"1990","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2547788","","","","0"
"1991","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2592306","","","","0"
"1992","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2632672","","","","0"
"1993","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2667292","","","","0"
"1994","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2700606","","","","0"
"1995","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2734519","","","","0"
"1996","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2775133","","","","0"
"1997","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2829848","","","","0"
"1998","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2899066","","","","0"
"1999","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","2952692","","","","0"
"2000","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3004198","","","","0"
"2001","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3058108","","","","0"
"2002","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3128429","","","","0"
"2003","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3183065","","","","0"
"2004","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3238668","","","","0"
"2005","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3321768","","","","0"
"2006","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3421434","","","","0"
"2007","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3514147","","","","0"
"2008","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3595856","","","","0"
"2009","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3678996","","","","0"
"2010","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3732082","","","","0"
"2011","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3789030","","","","0"
"2012","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3874548","","","","0"
"2013","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","3981011","","","","0"
"2014","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4083648","","","","0"
"2015","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4144491","","","","0"
"2016","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4196061","","","","0"
"2017","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4241100","","","","0"
"2018","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4298275","","","","0"
"1990","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3292111","","","","0"
"1991","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3373787","","","","0"
"1992","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3468802","","","","0"
"1993","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3567772","","","","0"
"1994","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3676075","","","","0"
"1995","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3777390","","","","0"
"1996","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3874317","","","","0"
"1997","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3948583","","","","0"
"1998","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","3983113","","","","0"
"1999","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4011375","","","","0"
"2000","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4039230","","","","0"
"2001","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4076950","","","","0"
"2002","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4100564","","","","0"
"2003","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4124482","","","","0"
"2004","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4155651","","","","0"
"2005","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4196062","","","","0"
"2006","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4241794","","","","0"
"2007","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4290984","","","","0"
"2008","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4349336","","","","0"
"2009","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4410506","","","","0"
"2010","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4465546","","","","0"
"2011","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4502104","","","","0"
"2012","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4566769","","","","0"
"2013","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4630077","","","","0"
"2014","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4707103","","","","0"
"2015","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4776388","","","","0"
"2016","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4859250","","","","0"
"2017","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","4929384","","","","0"
"2018","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","5010476","","","","0"
"1990","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","27957","","","","0"
"1991","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","28871","","","","0"
"1992","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30084","","","","0"
"1993","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30337","","","","0"
"1994","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","29684","","","","0"
"1995","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30442","","","","0"
"1996","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","31387","","","","0"
"1997","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","31797","","","","0"
"1998","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","31149","","","","0"
"1999","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30785","","","","0"
"2000","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30431","","","","0"
"2001","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30158","","","","0"
"2002","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30336","","","","0"
"2003","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","30941","","","","0"
"2004","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","31455","","","","0"
"2005","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","31902","","","","0"
"2006","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","32272","","","","0"
"2007","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","32554","","","","0"
"2008","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","33083","","","","0"
"2009","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","33731","","","","0"
"2010","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","34596","","","","0"
"2011","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","35411","","","","0"
"2012","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","36234","","","","0"
"2013","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","36521","","","","0"
"2014","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","37137","","","","0"
"2015","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","37690","","","","0"
"2016","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","38547","","","","0"
"2017","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","39669","","","","0"
"2018","Yukon","2016A000260","Both sexes","All ages","Persons","249","units","0","v470133","12.1.1","40613","","","","0"
"1990","Northwest Territories including Nunavut","","Both sexes","All ages","Persons","249","units","0","v470448","13.1.1","58937","","","t","0"
"1991","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","38724","","","","0"
"1992","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","39416","","","","0"
"1993","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","39820","","","","0"
"1994","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","40578","","","","0"
"1995","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","41432","","","","0"
"1996","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","41741","","","","0"
"1997","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","41625","","","","0"
"1998","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","40802","","","","0"
"1999","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","40638","","","","0"
"2000","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","40480","","","","0"
"2001","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","40845","","","","0"
"2002","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","41699","","","","0"
"2003","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","42600","","","","0"
"2004","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43306","","","","0"
"2005","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43400","","","","0"
"2006","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43179","","","","0"
"2007","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43372","","","","0"
"2008","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43360","","","","0"
"2009","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43156","","","","0"
"2010","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43285","","","","0"
"2011","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43504","","","","0"
"2012","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43648","","","","0"
"2013","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43805","","","","0"
"2014","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","43884","","","","0"
"2015","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","44237","","","","0"
"2016","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","44649","","","","0"
"2017","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","44891","","","","0"
"2018","Northwest Territories","2016A000261","Both sexes","All ages","Persons","249","units","0","v479937","14.1.1","44981","","","","0"
"1991","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","22154","","","","0"
"1992","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","22883","","","","0"
"1993","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","23559","","","","0"
"1994","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","24407","","","","0"
"1995","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","24978","","","","0"
"1996","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","25669","","","","0"
"1997","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","25884","","","","0"
"1998","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","26373","","","","0"
"1999","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","26820","","","","0"
"2000","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","27498","","","","0"
"2001","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","28133","","","","0"
"2002","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","28822","","","","0"
"2003","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","29322","","","","0"
"2004","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","29857","","","","0"
"2005","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","30339","","","","0"
"2006","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","30813","","","","0"
"2007","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","31395","","","","0"
"2008","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","31892","","","","0"
"2009","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","32597","","","","0"
"2010","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","33352","","","","0"
"2011","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","34192","","","","0"
"2012","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","34672","","","","0"
"2013","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","35337","","","","0"
"2014","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","35971","","","","0"
"2015","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","36488","","","","0"
"2016","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","36975","","","","0"
"2017","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","37546","","","","0"
"2018","Nunavut","2016A000262","Both sexes","All ages","Persons","249","units","0","v480252","15.1.1","38143","","","","0"


